group,well_name,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
CritterCreek,5123459560000,-1.18,17.33,33.15,-8.87,15.09,16.60
CritterCreek,5123459590200,0.59,13.23,21.20,-3.34,5.81,6.18
CritterCreek,5123459600000,0.75,18.20,32.90,-0.46,2.38,3.03
CritterCreek,5123472950000,0.02,237.30,614.78,-1.17,629.28,865.55
CritterCreek,5123472980000,0.48,50.12,72.57,-12.51,24.03,28.38
CritterCreek,5123473050000,0.89,26.73,45.01,0.78,3.68,4.34
CritterCreek,5123473060000,-7.83,48.51,63.80,-287.02,14.92,16.17
CritterCreek,5123473080000,0.79,25.31,41.87,0.41,4.01,4.74
CritterCreek,5123473110000,0.82,27.04,44.63,0.00,4.84,5.28
CritterCreek,5123477580000,0.79,30.24,47.65,-0.55,10.25,10.91
CritterCreek,5123477600000,0.75,21.04,33.65,-15.92,14.95,16.04
CritterCreek,5123477620100,0.82,7.58,13.05,0.83,1.39,1.77
CritterCreek,5123477630000,0.75,24.76,38.38,-0.11,5.70,6.36
