group,well_name,LSTM_train_r2,LSTM_train_mae,LSTM_train_rmse,LSTM_test_r2,LSTM_test_mae,LSTM_test_rmse
CritterCreek,5123459560000,0.64,13.47,22.85,-3.14,5.45,6.29
CritterCreek,5123459590200,0.77,12.38,17.31,-13.19,6.14,6.27
CritterCreek,5123459600000,0.62,21.33,35.21,-23.43,15.90,16.03
CritterCreek,5123472950000,0.67,34.24,44.17,-49.74,28.90,28.92
CritterCreek,5123472980000,0.69,33.52,49.97,-25.49,26.83,26.91
CritterCreek,5123473050000,0.86,30.12,50.18,-0.80,6.38,7.25
CritterCreek,5123473060000,0.28,29.24,38.73,-91.25,36.64,36.77
CritterCreek,5123473080000,0.83,25.39,37.60,-6.63,14.33,14.62
CritterCreek,5123473110000,0.83,26.32,43.95,-0.22,3.04,3.37
CritterCreek,5123477580000,0.82,28.77,47.92,-2.13,5.78,6.02
CritterCreek,5123477600000,0.83,19.08,29.52,-3.03,9.61,10.50
CritterCreek,5123477620100,0.81,9.25,14.01,-1.73,6.26,6.56
CritterCreek,5123477630000,0.78,23.87,39.96,-26.77,18.50,18.78
