group,well_name,Prophet_test_r2,Prophet_test_mae,Prophet_test_rmse
CritterCreek,5123459560000,-16.09,13.98,16.13
CritterCreek,5123459590200,-29.98,14.43,15.70
CritterCreek,5123459600000,-5.90,9.72,10.87
CritterCreek,5123472950000,0.33,5.63,6.84
CritterCreek,5123472980000,-8.95,28.16,30.56
CritterCreek,5123473050000,-0.29,9.45,12.10
CritterCreek,5123473060000,0.59,2.64,3.41
CritterCreek,5123473080000,-3.24,11.93,13.54
CritterCreek,5123473110000,-39.06,23.23,25.59
CritterCreek,5123477580000,-1.01,6.89,8.03
CritterCreek,5123477600000,-5.92,18.27,19.41
CritterCreek,5123477620100,-0.23,5.43,5.72
CritterCreek,5123477630000,-0.03,6.69,7.50
