group,well_name,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
Gobbler,5123359990000,0.72,12.06,26.51,-19.61,6.11,6.43
Gobbler,5123368110000,0.88,10.12,26.81,-0.43,3.60,4.69
Gobbler,5123360000000,0.70,13.04,31.12,-5.52,4.11,4.63
Gobbler,5123368100000,0.94,6.94,14.26,-5.57,6.47,7.33
Gobbler,5123366910000,0.78,11.88,36.44,-0.84,3.17,5.25
Gobbler,5123368170000,0.94,7.32,17.40,-6.67,2.08,4.70
Gobbler,5123366920000,0.86,12.54,29.56,-1.05,4.59,5.25
Gobbler,5123368120000,0.91,9.49,22.33,-35.14,12.43,23.31
Gobbler,5123368140000,0.83,12.64,25.12,-3.37,8.67,8.95
Gobbler,5123360010000,0.66,15.77,36.14,-13.08,7.52,7.91
Gobbler,5123368160000,0.93,7.31,14.26,-13.27,7.89,8.89
Gobbler,5123368180000,0.77,10.54,23.12,-9.32,5.25,5.85
Gobbler,5123370640000,0.83,9.40,24.25,-7.28,5.72,6.33
