group,well_name,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
Gobbler,5123359990000,0.80,8.63,21.54,-1.80,3.96,4.58
Gobbler,5123368110000,0.94,6.17,13.95,-1.56,2.36,4.32
Gobbler,5123360000000,0.82,8.52,20.97,-2.17,5.07,5.64
Gobbler,5123368100000,0.97,4.00,7.06,-0.32,2.18,3.01
Gobbler,5123366910000,0.96,5.83,12.36,-1.08,7.62,8.65
Gobbler,5123368170000,0.96,3.95,9.39,-5.06,2.73,2.89
Gobbler,5123366920000,0.94,7.04,16.44,-2.09,4.38,4.86
Gobbler,5123368120000,0.99,5.31,7.22,-0.36,15.72,24.80
Gobbler,5123368140000,0.91,7.76,13.35,-6.35,6.63,6.88
Gobbler,5123360010000,0.80,10.22,28.06,-2.81,5.46,5.96
Gobbler,5123368160000,0.94,4.93,9.41,0.12,2.60,3.28
Gobbler,5123368180000,0.79,4.89,10.86,-2.44,3.60,3.83
Gobbler,5123370640000,0.94,5.48,12.55,-0.75,2.88,3.48
