group,well_name,Prophet_test_r2,Prophet_test_mae,Prophet_test_rmse
Gobbler,5123359990000,-37.41,15.68,16.63
Gobbler,5123359990000,-37.41,15.68,16.63
Gobbler,5123368110000,-1.31,4.00,5.29
Gobbler,5123360000000,-0.78,4.29,4.70
Gobbler,5123368100000,-0.02,1.82,2.57
Gobbler,5123366910000,-3.20,10.63,13.04
Gobbler,5123368170000,-0.24,3.47,4.32
Gobbler,5123366920000,-9.86,7.90,9.27
Gobbler,5123368120000,-1.77,22.58,33.32
Gobbler,5123368140000,-3.72,12.34,13.25
Gobbler,5123360010000,-3.42,6.34,6.94
Gobbler,5123368160000,-5.15,12.21,13.13
Gobbler,5123368180000,-10.46,10.14,10.89
Gobbler,5123370640000,-9.38,7.66,8.50
