group,well_name,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
Wilson,5123454260000,0.90,20.93,48.26,-0.51,8.04,8.27
Wilson,5123454300000,0.94,16.44,34.15,-0.07,7.32,7.49
Wilson,5123454360000,0.84,34.88,55.25,0.86,2.00,2.68
Wilson,5123454280000,0.71,22.70,47.09,0.29,2.97,3.27
Wilson,5123454350000,0.97,15.49,25.71,-0.33,5.60,5.92
Wilson,5123454320000,0.79,31.97,50.96,0.64,7.65,9.20
Wilson,5123454290000,0.26,64.08,80.36,-64.45,48.49,48.72
Wilson,5123454330000,-0.41,65.15,96.57,-5.55,26.33,27.50
Wilson,5123454340000,0.89,24.95,44.90,0.53,3.08,3.84
Wilson,5123454270000,0.98,10.40,19.85,-5.55,15.81,16.35
Wilson,5123454310000,0.94,25.49,36.91,-0.21,5.88,6.23
Wilson,5123454370000,0.33,40.15,71.43,-29.36,35.01,35.31
Wilson,5123454410000,0.58,31.92,52.14,0.85,2.70,3.10
Wilson,5123454440000,0.90,19.43,36.68,0.62,4.16,4.61
Wilson,5123454400000,0.87,35.04,67.87,-4.17,10.34,10.48
Wilson,5123454390000,0.95,19.59,31.03,-7.04,9.15,9.18
Wilson,5123454420000,0.72,28.21,63.37,-0.14,6.73,8.48
Wilson,5123454380000,-0.56,82.17,134.89,-2.72,11.68,12.05
Wilson,5123454460000,0.37,32.52,63.95,-9.54,17.75,17.84
Wilson,5123454470100,0.92,26.48,46.73,0.10,9.05,9.43
Wilson,5123454480000,0.54,43.63,79.60,-9.92,17.50,17.66
Wilson,5123454490000,0.87,33.26,58.79,0.22,4.95,5.91
Wilson,5123454520000,0.39,130.25,267.29,-3.09,108.88,128.77
Wilson,5123454500000,0.90,25.10,50.94,0.09,4.94,5.36
Wilson,5123454510000,0.15,43.29,83.83,-13.25,28.35,28.56
Wilson,5123454530000,0.96,18.56,32.47,-0.40,9.66,10.54
Wilson,5123454580000,0.86,22.55,43.76,-4.66,8.70,9.51
Wilson,5123454540000,0.53,74.91,145.57,-3.60,51.21,60.53
