group,well_name,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
Wishbone,5123371110000,0.96,7.02,15.02,-144.57,11.77,12.02
Wishbone,5123371120000,0.96,6.63,10.56,-386.23,20.34,21.11
Wishbone,5123371130000,0.93,10.50,18.66,-15.73,8.07,8.35
Wishbone,5123371450000,0.92,7.66,16.65,-19.52,4.27,4.44
Wishbone,5123371460000,0.81,12.67,27.53,-3.83,3.58,3.79
Wishbone,5123371470000,0.87,12.67,26.58,-21.12,6.39,6.56
Wishbone,5123371480000,0.91,8.25,18.93,-9.55,4.14,4.21
Wishbone,5123371490000,0.91,10.39,24.14,-4.78,4.21,4.38
Wishbone,5123371520000,0.82,11.26,27.47,-18.96,5.19,5.44
Wishbone,5123371530000,0.80,11.05,30.89,-5.32,2.53,2.82
Wishbone,5123371540000,-0.04,17.14,53.71,-8.08,3.94,4.06
