group,well_name,LSTM_train_r2,LSTM_train_mae,LSTM_train_rmse,LSTM_test_r2,LSTM_test_mae,LSTM_test_rmse
Wishbone,5123371110000,0.97,4.71,9.48,-1.22,3.72,4.04
Wishbone,5123371120000,0.97,5.23,6.82,0.15,3.42,5.45
Wishbone,5123371130000,0.99,4.21,5.83,-0.37,2.04,2.54
Wishbone,5123371450000,0.98,3.36,5.46,-3.20,3.21,3.34
Wishbone,5123371460000,0.98,4.91,7.83,-11.86,4.87,5.00
Wishbone,5123371470000,0.98,4.79,6.51,-0.76,1.54,1.83
Wishbone,5123371480000,0.99,3.00,5.06,0.74,0.41,0.54
Wishbone,5123371490000,0.98,4.72,9.30,-2.61,2.66,2.80
Wishbone,5123371520000,0.91,6.77,19.98,-3.18,2.35,2.46
Wishbone,5123371530000,0.95,6.12,13.68,-9.74,4.48,4.67
Wishbone,5123371540000,0.97,5.38,11.98,-12.48,2.77,2.80
