API,oil/day,Date
05123473060000,9.70,6/1/19
05123473060000,109.71,7/1/19
05123473060000,178.58,8/1/19
05123473060000,172.80,9/1/19
05123473060000,167.77,10/1/19
05123473060000,102.48,11/1/19
05123473060000,101.46,12/1/19
05123473060000,122.84,1/1/20
05123473060000,31.10,2/1/20
05123473060000,0.13,3/1/20
05123473060000,50.33,4/1/20
05123473060000,124.97,5/1/20
05123473060000,107.27,6/1/20
05123473060000,104.48,7/1/20
05123473060000,99.80,8/1/20
05123473060000,91.70,9/1/20
05123473060000,81.48,10/1/20
05123473060000,76.50,11/1/20
05123473060000,70.48,12/1/20
05123473060000,64.03,1/1/21
05123473060000,58.36,2/1/21
05123473060000,57.29,3/1/21
05123473060000,59.47,4/1/21
05123473060000,54.94,5/1/21
05123473060000,55.60,6/1/21
05123473060000,52.39,7/1/21
05123473060000,50.29,8/1/21
05123473060000,47.97,9/1/21
05123473060000,46.32,10/1/21
05123473060000,45.07,11/1/21
05123473060000,42.97,12/1/21
05123459610000,22.22,7/1/19
05123459610000,52.10,8/1/19
05123459610000,58.27,9/1/19
05123459610000,55.00,10/1/19
05123459610000,46.59,11/1/19
05123459610000,37.33,12/1/19
05123459610000,30.58,1/1/20
05123459610000,23.00,2/1/20
05123459610000,27.52,3/1/20
05123459610000,23.27,4/1/20
05123459610000,20.03,5/1/20
05123459610000,17.97,6/1/20
05123459610000,15.58,7/1/20
05123459610000,15.42,8/1/20
05123459610000,14.30,9/1/20
05123459610000,14.45,10/1/20
05123459610000,14.73,11/1/20
05123459610000,12.61,12/1/20
05123459610000,11.58,1/1/21
05123459610000,11.25,2/1/21
05123459610000,9.71,3/1/21
05123459610000,9.17,4/1/21
05123459610000,10.23,5/1/21
05123459610000,10.00,6/1/21
05123459610000,9.35,7/1/21
05123459610000,7.97,8/1/21
05123459610000,8.83,9/1/21
05123459610000,8.52,10/1/21
05123459610000,7.97,11/1/21
05123459610000,8.00,12/1/21
05123473070100,4.48,6/1/19
05123473070100,7.23,7/1/19
05123473070100,8.97,8/1/19
05123473070100,9.33,9/1/19
05123473070100,8.10,10/1/19
05123473070100,7.14,11/1/19
05123473070100,6.13,12/1/19
05123473070100,5.20,1/1/20
05123473070100,3.17,2/1/20
05123473070100,2.61,3/1/20
05123473070100,4.27,4/1/20
05123473070100,3.87,5/1/20
05123473070100,0.37,6/1/20
05123473070100,2.94,7/1/20
05123473070100,2.68,8/1/20
05123473070100,2.57,9/1/20
05123473070100,2.23,10/1/20
05123473070100,2.23,11/1/20
05123473070100,2.10,12/1/20
05123473070100,2.00,1/1/21
05123473070100,1.86,2/1/21
05123473070100,1.84,3/1/21
05123473070100,1.83,4/1/21
05123473070100,1.71,5/1/21
05123473070100,1.70,6/1/21
05123473070100,1.61,7/1/21
05123473070100,1.55,8/1/21
05123473070100,1.47,9/1/21
05123473070100,1.42,10/1/21
05123473070100,1.40,11/1/21
05123473070100,1.32,12/1/21
05123473080000,168.22,6/1/19
05123473080000,302.10,7/1/19
05123473080000,337.42,8/1/19
05123473080000,344.23,9/1/19
05123473080000,279.77,10/1/19
05123473080000,219.66,11/1/19
05123473080000,198.63,12/1/19
05123473080000,161.39,1/1/20
05123473080000,76.72,2/1/20
05123473080000,110.74,3/1/20
05123473080000,127.87,4/1/20
05123473080000,112.87,5/1/20
05123473080000,101.17,6/1/20
05123473080000,84.58,7/1/20
05123473080000,76.45,8/1/20
05123473080000,77.80,9/1/20
05123473080000,67.55,10/1/20
05123473080000,60.43,11/1/20
05123473080000,58.84,12/1/20
05123473080000,55.39,1/1/21
