API,oil/day,Date
05123359990000,163.83,10/1/13
05123359990000,266.30,11/1/13
05123359990000,223.65,12/1/13
05123359990000,191.73,1/1/14
05123359990000,167.61,2/1/14
05123359990000,143.39,3/1/14
05123359990000,125.60,4/1/14
05123359990000,100.67,5/1/14
05123359990000,2.67,6/1/14
05123359990000,166.00,7/1/14
05123359990000,140.19,8/1/14
05123359990000,102.00,9/1/14
05123359990000,88.00,10/1/14
05123359990000,71.97,11/1/14
05123359990000,68.74,12/1/14
05123359990000,65.52,1/1/15
05123359990000,54.93,2/1/15
05123359990000,59.68,3/1/15
05123359990000,55.63,4/1/15
05123359990000,51.61,5/1/15
05123359990000,49.47,6/1/15
05123359990000,45.81,7/1/15
05123359990000,45.10,8/1/15
05123359990000,41.93,9/1/15
05123359990000,37.35,10/1/15
05123359990000,37.87,11/1/15
05123359990000,31.84,12/1/15
05123359990000,31.23,1/1/16
05123359990000,41.59,2/1/16
05123359990000,33.48,3/1/16
05123359990000,31.23,4/1/16
05123359990000,31.03,5/1/16
05123359990000,29.30,6/1/16
05123359990000,35.06,7/1/16
05123359990000,31.32,8/1/16
05123359990000,24.86,9/1/16
05123359990000,30.23,10/1/16
05123359990000,26.27,11/1/16
05123359990000,22.90,12/1/16
05123359990000,24.29,1/1/17
05123359990000,27.04,2/1/17
05123359990000,19.16,3/1/17
05123359990000,19.73,4/1/17
05123359990000,11.10,5/1/17
05123359990000,14.90,6/1/17
05123359990000,15.48,7/1/17
05123359990000,24.87,8/1/17
05123359990000,26.23,9/1/17
05123359990000,27.71,10/1/17
05123359990000,22.50,11/1/17
05123359990000,18.29,12/1/17
05123359990000,18.26,1/1/18
05123359990000,15.86,2/1/18
05123359990000,15.97,3/1/18
05123359990000,15.83,4/1/18
05123359990000,15.39,5/1/18
05123359990000,12.67,6/1/18
05123359990000,10.10,7/1/18
05123359990000,12.71,8/1/18
05123359990000,9.03,9/1/18
05123359990000,8.45,10/1/18
05123359990000,6.90,11/1/18
05123359990000,6.41,12/1/18
05123359990000,8.97,1/1/19
05123359990000,6.04,2/1/19
05123359990000,5.77,3/1/19
05123359990000,7.25,4/1/19
05123359990000,8.24,5/1/19
05123359990000,6.93,6/1/19
05123359990000,11.61,7/1/19
05123359990000,10.42,8/1/19
05123359990000,13.13,9/1/19
05123359990000,9.43,10/1/19
