API,oil/day,Date
05123454310000,#VALUE!,8/1/18
05123454310000,631.60,9/1/18
05123454310000,583.87,10/1/18
05123454310000,504.23,11/1/18
05123454310000,423.29,12/1/18
05123454310000,351.84,1/1/19
05123454310000,265.07,2/1/19
05123454310000,220.23,3/1/19
05123454310000,177.50,4/1/19
05123454310000,155.23,5/1/19
05123454310000,97.33,6/1/19
05123454310000,#VALUE!,7/1/19
05123454310000,21.29,8/1/19
05123454310000,130.67,9/1/19
05123454310000,141.74,10/1/19
05123454310000,138.77,11/1/19
05123454310000,129.84,12/1/19
05123454310000,117.00,1/1/20
05123454310000,101.28,2/1/20
05123454310000,84.16,3/1/20
05123454310000,73.83,4/1/20
05123454310000,61.06,5/1/20
05123454310000,49.33,6/1/20
05123454310000,41.58,7/1/20
05123454310000,37.58,8/1/20
05123454310000,36.53,9/1/20
05123454310000,35.39,10/1/20
05123454310000,31.53,11/1/20
05123454310000,28.61,12/1/20
05123454310000,27.71,1/1/21
05123454310000,25.93,2/1/21
05123454310000,21.00,3/1/21
05123454310000,23.07,4/1/21
05123454310000,21.00,5/1/21
05123454310000,20.50,6/1/21
05123454310000,20.10,7/1/21
05123454310000,17.43,8/1/21
05123454310000,16.20,9/1/21
05123454310000,16.13,10/1/21
05123454310000,13.47,11/1/21
05123454310000,15.45,12/1/21
05123454430000,294.56,8/1/19
05123454430000,407.27,9/1/19
05123454430000,475.92,10/1/19
05123454430000,292.60,11/1/19
05123454430000,271.03,12/1/19
05123454430000,#VALUE!,1/1/20
05123454430000,162.47,2/1/20
05123454380000,36.50,8/1/18
05123454380000,509.00,9/1/18
05123454380000,501.97,10/1/18
05123454380000,462.90,11/1/18
05123454380000,491.65,12/1/18
05123454380000,416.32,1/1/19
05123454380000,370.50,2/1/19
05123454380000,313.13,3/1/19
05123454380000,307.67,4/1/19
05123454380000,268.81,5/1/19
05123454380000,170.33,6/1/19
05123454380000,120.00,7/1/19
05123454380000,10.82,8/1/19
05123454380000,153.40,9/1/19
05123454380000,191.94,10/1/19
05123454380000,201.37,11/1/19
05123454380000,193.39,12/1/19
05123454380000,179.68,1/1/20
05123454380000,168.34,2/1/20
05123454380000,143.00,3/1/20
05123454380000,132.37,4/1/20
05123454380000,109.26,5/1/20
05123454380000,92.23,6/1/20
05123454380000,83.10,7/1/20
05123454380000,73.58,8/1/20
05123454380000,67.33,9/1/20
05123454380000,62.29,10/1/20
05123454380000,56.27,11/1/20
05123454380000,51.42,12/1/20
05123454380000,48.58,1/1/21
05123454380000,48.79,2/1/21
05123454380000,43.35,3/1/21
05123454380000,38.40,4/1/21
05123454380000,34.81,5/1/21
05123454380000,34.30,6/1/21
05123454380000,32.71,7/1/21
05123454380000,29.45,8/1/21
05123454380000,27.17,9/1/21
05123454380000,28.13,10/1/21
05123454380000,27.40,11/1/21
05123454380000,26.65,12/1/21
05123454410000,#VALUE!,8/1/18
05123454410000,259.00,9/1/18
05123454410000,332.00,10/1/18
05123454410000,353.97,11/1/18
05123454410000,387.97,12/1/18
05123454410000,332.84,1/1/19
05123454410000,287.64,2/1/19
05123454410000,261.03,3/1/19
05123454410000,269.27,4/1/19
05123454410000,235.65,5/1/19
05123454410000,147.67,6/1/19
05123454410000,16.33,7/1/19
05123454410000,104.61,8/1/19
05123454410000,132.06,9/1/19
05123454410000,110.52,10/1/19
05123454410000,140.10,11/1/19
05123454410000,120.06,12/1/19
05123454410000,94.65,1/1/20
05123454410000,114.00,2/1/20
05123454410000,114.06,3/1/20
05123454410000,107.43,4/1/20
