API,oil/day,Date
05123371120000,#VALUE!,8/1/13
05123371120000,330.97,9/1/13
05123371120000,296.90,10/1/13
05123371120000,228.20,11/1/13
05123371120000,178.32,12/1/13
05123371120000,162.07,1/1/14
05123371120000,141.32,2/1/14
05123371120000,132.97,3/1/14
05123371120000,117.93,4/1/14
05123371120000,107.29,5/1/14
05123371120000,102.97,6/1/14
05123371120000,96.10,7/1/14
05123371120000,89.74,8/1/14
05123371120000,84.00,9/1/14
05123371120000,83.06,10/1/14
05123371120000,75.47,11/1/14
05123371120000,72.81,12/1/14
05123371120000,73.10,1/1/15
05123371120000,62.61,2/1/15
05123371120000,66.42,3/1/15
05123371120000,63.43,4/1/15
05123371120000,63.13,5/1/15
05123371120000,58.17,6/1/15
05123371120000,57.35,7/1/15
05123371120000,46.06,8/1/15
05123371120000,49.13,9/1/15
05123371120000,50.52,10/1/15
05123371120000,50.90,11/1/15
05123371120000,40.71,12/1/15
05123371120000,52.06,1/1/16
05123371120000,49.52,2/1/16
05123371120000,43.58,3/1/16
05123371120000,48.37,4/1/16
05123371120000,46.97,5/1/16
05123371120000,40.21,6/1/16
05123371120000,48.39,7/1/16
05123371120000,41.55,8/1/16
05123371120000,35.11,9/1/16
05123371120000,48.23,10/1/16
05123371120000,43.07,11/1/16
05123371120000,29.04,12/1/16
05123371120000,24.33,1/1/17
05123371120000,43.36,2/1/17
05123371120000,42.58,3/1/17
05123371120000,31.67,4/1/17
05123371120000,26.00,5/1/17
05123371120000,32.90,6/1/17
05123371120000,18.03,7/1/17
05123371120000,33.28,8/1/17
05123371120000,38.03,9/1/17
05123371120000,27.05,10/1/17
05123371120000,32.77,11/1/17
05123371120000,28.65,12/1/17
05123371120000,22.19,1/1/18
05123371120000,30.18,2/1/18
05123371120000,31.16,3/1/18
05123371120000,27.77,4/1/18
05123371120000,26.84,5/1/18
05123371120000,24.36,6/1/18
05123371120000,27.26,7/1/18
05123371120000,25.42,8/1/18
05123371120000,24.60,9/1/18
05123371120000,24.39,10/1/18
05123371120000,22.61,11/1/18
05123371120000,27.87,12/1/18
05123371120000,33.55,1/1/19
05123371120000,32.46,2/1/19
05123371120000,36.20,3/1/19
05123371120000,9.00,4/1/19
05123371120000,#VALUE!,5/1/19
