Date,oil/day
2019-08-01,92.03
2019-09-01,208.87
2019-10-01,253.84
2019-11-01,198.59
2019-12-01,140.93
2020-01-01,107.58
2020-02-01,82.39
2020-03-01,104.65
2020-04-01,83.03
2020-05-01,76.97
2020-06-01,65.47
2020-07-01,59.29
2020-08-01,56.65
2020-09-01,52.6
2020-10-01,52.16
2020-11-01,50.37
2020-12-01,46.97
2021-01-01,41.71
2021-02-01,40.71
2021-03-01,41.13
2021-04-01,42.77
2021-05-01,40.19
2021-06-01,38.83
2021-07-01,35.45
2021-08-01,35.0
2021-09-01,35.7
2021-10-01,29.74
2021-11-01,30.03
2021-12-01,38.68
