Date,oil/day
2013-10-01,182.13
2013-11-01,346.13
2013-12-01,282.13
2014-01-01,245.03
2014-02-01,211.96
2014-03-01,191.71
2014-04-01,172.5
2014-05-01,139.8
2014-06-01,2.8
2014-07-01,218.16
2014-08-01,172.23
2014-09-01,132.97
2014-10-01,120.71
2014-11-01,101.0
2014-12-01,95.48
2015-01-01,86.32
2015-02-01,78.14
2015-03-01,76.48
2015-04-01,74.23
2015-05-01,71.61
2015-06-01,64.67
2015-07-01,59.06
2015-08-01,57.45
2015-09-01,52.03
2015-10-01,50.13
2015-11-01,49.5
2015-12-01,46.06
2016-01-01,50.26
2016-02-01,47.17
2016-03-01,40.84
2016-04-01,38.03
2016-05-01,38.45
2016-06-01,31.23
2016-07-01,36.58
2016-08-01,40.35
2016-09-01,30.68
2016-10-01,39.58
2016-11-01,34.97
2016-12-01,26.23
2017-01-01,26.48
2017-02-01,30.18
2017-03-01,21.13
2017-04-01,25.13
2017-05-01,20.0
2017-06-01,20.73
2017-07-01,19.84
2017-08-01,20.55
2017-09-01,24.6
2017-10-01,25.1
2017-11-01,21.67
2017-12-01,18.45
2018-01-01,16.65
2018-02-01,15.86
2018-03-01,17.0
2018-04-01,16.2
2018-05-01,16.84
2018-06-01,13.93
2018-07-01,18.48
2018-08-01,19.65
2018-09-01,15.1
2018-10-01,17.52
2018-11-01,16.67
2018-12-01,17.47
2019-01-01,19.97
2019-02-01,15.11
2019-03-01,14.68
2019-04-01,15.87
2019-05-01,14.0
2019-07-01,21.96
2019-08-01,16.97
2019-09-01,17.43
2019-10-01,12.85
2019-11-01,19.77
2019-12-01,18.45
2020-01-01,18.45
2020-02-01,15.69
2020-03-01,15.9
2020-04-01,12.37
2020-05-01,13.81
2020-06-01,10.57
2020-07-01,12.1
2020-08-01,10.48
2020-09-01,13.53
2020-10-01,11.31
2020-12-01,5.58
2021-01-01,12.52
2021-02-01,15.0
2021-03-01,13.03
2021-04-01,13.43
2021-05-01,14.74
2021-06-01,11.6
2021-07-01,11.19
2021-08-01,10.9
2021-09-01,11.2
2021-10-01,11.26
2021-11-01,11.07
2021-12-01,11.58
