Date,oil/day
2019-08-01,264.53
2019-09-01,432.8
2019-10-01,318.14
2019-11-01,407.67
2019-12-01,320.03
2020-01-01,248.06
2020-02-01,198.45
2020-03-01,175.26
2020-04-01,156.3
2020-05-01,133.13
2020-06-01,106.5
2020-07-01,101.35
2020-08-01,87.55
2020-09-01,76.13
2020-10-01,73.23
2020-11-01,54.2
2020-12-01,15.21
2021-01-01,41.29
2021-02-01,33.14
2021-03-01,43.13
2021-04-01,40.13
2021-05-01,38.71
2021-06-01,33.93
2021-07-01,32.26
2021-08-01,33.61
2021-09-01,30.47
2021-10-01,29.39
2021-11-01,26.53
2021-12-01,28.19
