Date,oil/day
2013-09-01,57.7
2013-10-01,372.55
2013-11-01,420.87
2013-12-01,273.45
2014-01-01,218.77
2014-02-01,177.64
2014-03-01,149.74
2014-04-01,126.63
2014-05-01,110.26
2014-06-01,104.43
2014-07-01,88.3
2014-08-01,80.29
2014-09-01,71.07
2014-10-01,66.06
2014-11-01,56.93
2014-12-01,53.1
2015-01-01,50.03
2015-02-01,44.32
2015-03-01,45.16
2015-04-01,43.07
2015-05-01,39.94
2015-06-01,38.8
2015-07-01,38.06
2015-08-01,37.9
2015-09-01,32.13
2015-10-01,30.55
2015-11-01,28.77
2015-12-01,20.19
2016-01-01,38.52
2016-02-01,29.86
2016-03-01,26.35
2016-04-01,23.87
2016-05-01,22.55
2016-06-01,23.83
2016-07-01,31.58
2016-08-01,26.55
2016-09-01,19.44
2016-10-01,20.16
2016-11-01,21.73
2016-12-01,17.32
2017-01-01,18.29
2017-02-01,17.5
2017-03-01,25.1
2017-04-01,23.33
2017-05-01,21.45
2017-06-01,19.62
2017-07-01,19.48
2017-08-01,19.71
2017-09-01,17.93
2017-10-01,25.62
2017-11-01,14.33
2017-12-01,15.94
2018-01-01,13.45
2018-02-01,13.36
2018-03-01,13.23
2018-04-01,13.43
2018-05-01,13.32
2018-06-01,10.76
2018-07-01,13.16
2018-08-01,12.74
2018-09-01,8.48
2018-10-01,10.32
2018-11-01,10.5
2018-12-01,10.03
2019-01-01,8.9
2019-02-01,9.39
2019-03-01,9.26
2019-04-01,1.0
2019-06-01,15.56
2019-07-01,10.03
2019-08-01,6.61
2019-09-01,6.52
2019-10-01,7.62
2019-11-01,7.03
2019-12-01,8.16
2020-01-01,7.94
2020-02-01,8.38
2020-03-01,8.52
2020-04-01,7.83
2020-05-01,7.55
2020-06-01,7.6
2020-07-01,7.9
2020-08-01,7.52
2020-09-01,7.43
2020-10-01,6.61
2020-11-01,7.03
2020-12-01,6.42
2021-01-01,6.29
2021-02-01,6.36
2021-03-01,5.97
2021-04-01,6.53
2021-05-01,6.35
2021-06-01,6.33
2021-07-01,6.39
2021-08-01,6.39
2021-09-01,6.33
2021-10-01,6.29
2021-11-01,6.1
2021-12-01,5.84
